MNX_ID	seed	other
MNXR101484	rxn08918	1.8.4.14-RXN
MNXR101484	rxn08919	1.8.4.13-RXN
MNXR101484	rxn08919	1.8.4.14-RXN
MNXR101489	rxn05219	RXN0-4522
MNXR101489	rxn08909	RXN0-4522
MNXR101489	rxn11151	RXN0-4522
MNXR101491	rxn05615	RXN0-7050
MNXR101495	rxn01607	MEVALONATE-KINASE-RXN
MNXR101505	rxn08924	3.6.3.2-RXN
MNXR101505	rxn08924	TRANS-RXN-250
MNXR101505	rxn10571	3.6.3.2-RXN
MNXR101505	rxn10571	TRANS-RXN-250
MNXR101507	rxn05616	TRANS-RXN-141
MNXR101507	rxn08922	TRANS-RXN-141
MNXR101507	rxn08923	TRANS-RXN-141
MNXR101551	rxn00748	METHGLYSYN-RXN
MNXR101555	rxn03052	HOMOCYSMET-RXN
MNXR101570	rxn00881	RXN0-5408
MNXR101574	rxn00883	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN
MNXR101575	rxn05072	MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN
MNXR101579	rxn00882	RXN-10952
MNXR101580	rxn03061	4.2.1.99-RXN
MNXR101581	rxn02418	RXN-10942
MNXR101581	rxn02418	RXN-7241
MNXR101584	rxn13385	2.7.1.152-RXN
MNXR101619	rxn05746	RXN0-5183
MNXR101620	rxn08933	MALTET-RXN
MNXR101621	rxn08934	RXN-14281
MNXR101622	rxn08935	RXN-14282
MNXR101623	rxn08936	RXN-14283
MNXR101632	rxn08941	RXN-14284
MNXR101633	rxn08942	RXN-14285
MNXR101634	rxn08943	RXN-14286
MNXR101656	rxn00672	METHYLMALONYL-COA-DECARBOXYLASE-RXN
MNXR101657	rxn01996	METHYLMALONYL-COA-EPIM-RXN
MNXR101659	rxn08945	TRANS-RXN0-486
MNXR101661	rxn00602	METHYLMALONYL-COA-MUT-RXN
MNXR101664	rxn09944	RXN-12736
MNXR101665	rxn00501	RXN-2902
MNXR101675	rxn00629	MANNITOL-2-DEHYDROGENASE-RXN
MNXR101679	rxn03885	MANNONDEHYDRAT-RXN
MNXR101683	rxn03182	KDOTRANS-RXN
MNXR101684	rxn03439	KDOTRANS2-RXN
MNXR101689	rxn05619	3.6.3.29-RXN
MNXR101689	rxn05619	ABC-19-RXN
MNXR101689	rxn08955	3.6.3.29-RXN
MNXR101689	rxn08955	ABC-19-RXN
MNXR101716	rxn07332	RXN-2542
MNXR101717	rxn01132	MALTOSE-PHOSPHORYLASE-RXN
MNXR101721	rxn02733	RXN1F-20
MNXR101728	rxn02959	RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN
MNXR101729	rxn01329	PHOSMANMUT-RXN
MNXR101744	rxn01021	METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN
MNXR101745	rxn01022	5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN
