name	metacyc	vmh	seed	group
D-Glyceraldehyde		EX_glyald(e)	EX_cpd00448_e0	
Methyl sulfide		EX_dms(e)	EX_cpd00450_e0	
1,2-Propanediol		EX_12ppd-S(e)	EX_cpd00453_e0	
meso-2,6-Diaminopimelate		EX_26dap_M(e)	EX_cpd00516_e0	
Mercury		EX_hg2(e)	EX_cpd00531_e0	
Betaine		EX_glyb(e)	EX_cpd00540_e0	
D-Serine		EX_ser_D(e)	EX_cpd00550_e0	
Siroheme		EX_sheme(e)	EX_cpd00557_e0	
Siroheme		EX_sheme(e)	EX_cpd00557_e0	
L-Idonate		EX_idon_L(e)	EX_cpd00573_e0	
D-Glucarate		EX_glcr(e)	EX_cpd00609_e0	
Cob(I)alamin		EX_cbl1(e)	EX_cpd00635_e0	
D-Methionine		EX_met_D(e)	EX_cpd00637_e0	
Pantothenic acid;Pantothenate		EX_pnto_R(e)	EX_cpd00644_e0	
D-Mucic acid		EX_galct_D(e)	EX_cpd00652_e0	
D-Galactonate		EX_galctn_D(e)	EX_cpd00653_e0	
Deoxycytidine		EX_dcyt(e)	EX_cpd00654_e0	
Galactomannan		EX_galmannan(e)	EX_cpd00656_e0	
Nitrous oxide		EX_n2o(e)	EX_cpd00659_e0	
Choline sulfate		EX_chols(e)	EX_cpd00681_e0	
Thiamine phosphate		EX_thmmp(e)	EX_cpd00793_e0	
(R)-3-Hydroxybutanoate		EX_bhb(e)	EX_cpd00797_e0	
Trimethylamine N-oxide		EX_tmao(e)	EX_cpd00811_e0	
Provitamin D3		EX_vitd3(e)	EX_cpd00857_e0	
gamma-butyrobetaine		EX_gbbtn(e)	EX_cpd00870_e0	
Sodium		EX_na1(e)	EX_cpd00971_e0	
Cadmium		EX_cd2(e)	EX_cpd01012_e0	
Cyanate		EX_cynt(e)	EX_cpd01015_e0	
Cys-Gly		EX_cgly(e)	EX_cpd01017_e0	
Arsenate		EX_aso4(e)	EX_cpd01048_e0	
ocdca		EX_ocdca(e)	EX_cpd01080_e0	
Allantoin		EX_alltn(e)	EX_cpd01092_e0	
Decanoate		EX_dca(e)	EX_cpd01107_e0	
Hexanoate		EX_hxa(e)	EX_cpd01113_e0	
Linoleate		EX_lnlc(e)	EX_cpd01122_e0	
Stachyose		EX_stys(e)	EX_cpd01133_e0	
Cadaverine		EX_15dap(e)	EX_cpd01155_e0	
Dulcose		EX_galt(e)	EX_cpd01171_e0	
Lanosterol		EX_lanost(e)	EX_cpd01188_e0	
Xanthosine		EX_xtsn(e)	EX_cpd01217_e0	
Thyminose		EX_drib(e)	EX_cpd01242_e0	
Amylotriose		EX_malttr(e)	EX_cpd01262_e0	
beta-Lactose		EX_cll_395(e)	EX_cpd01354_e0	
Maltotetraose		EX_maltttr(e)	EX_cpd01399_e0	
Vitamin K1		EX_phyQ(e)	EX_cpd01401_e0	
beta-Carotene		EX_caro(e)	EX_cpd01420_e0	
Vitamin E		EX_avite1(e)	EX_cpd01628_e0	
gamma-Tocopherol		EX_yvite(e)	EX_cpd01631_e0	
Dodecanoic acid		EX_ddca(e)	EX_cpd01741_e0	
(R)-1,2-Propanediol		EX_12ppd-R(e)	EX_cpd01861_e0	
L-Fucose 1-phosphate		EX_fuc1p_L(e)	EX_cpd01912_e0	
L-Methionine S-oxide		EX_metsox_S_L(e)	EX_cpd01914_e0	
5-Methylthio-D-ribose		EX_5mtr(e)	EX_cpd01981_e0	
Bactoprenyl diphosphate		EX_udcpdp(e)	EX_cpd02229_e0	
S-Adenosyl-4-methylthio-2-oxobutanoate		EX_amob(e)	EX_cpd02701_e0	
Isethionate		EX_isetac(e)	EX_cpd03048_e0	
Deoxyinosine		EX_din(e)	EX_cpd03279_e0	
Phenylpropanoate		EX_pppn(e)	EX_cpd03343_e0	
Selenate		EX_sel(e)	EX_cpd03396_e0	
Vitamin B12;cyanocob(III)alamin;cyanocobalamin		EX_adpcbl(e)	EX_cpd03424_e0	
2-Octaprenyl-6-hydroxyphenol		EX_2ohph(e)	EX_cpd03445_e0	
kdo2-lipid iva		EX_kdo2lipid4(e)	EX_cpd03586_e0	
Ursin		EX_arbt(e)	EX_cpd03696_e0	
Ferrichrome		EX_fecrm(e)	EX_cpd03724_e0	
Fe(III)dicitrate		EX_fe3dcit(e)	EX_cpd03725_e0	
2,3-Diaminopropionate		EX_23dappa(e)	EX_cpd03828_e0	
octanoate		EX_octa(e)	EX_cpd03846_e0	
Myristic acid		EX_ttdca(e)	EX_cpd03847_e0	
Arachidic acid		EX_arach(e)	EX_cpd03848_e0	
Linolenate		EX_lnlnca(e)	EX_cpd03850_e0	
Docosahexaenoic acid		EX_crvnc(e)	EX_cpd03852_e0	
Lead		EX_pb(e)	EX_cpd04097_e0	
Arsenite		EX_aso3(e)	EX_cpd04098_e0	
Erucic acid		EX_doco13ac(e)	EX_cpd05231_e0	
Nervonic acid		EX_nrvnc(e)	EX_cpd05238_e0	
Dimethyl sulfoxide		EX_dmso(e)	EX_cpd08021_e0	
methanesulfonate		EX_mso3(e)	EX_cpd08023_e0	
crotonobetaine		EX_ctbt(e)	EX_cpd08305_e0	
Butyro-betaine		EX_gbbtn(e)	EX_cpd08306_e0	
4-5-dihydroxy-2-3-pentanedione		EX_dhptd(e)	EX_cpd08636_e0	
Sulfoacetate		EX_sulfac(e)	EX_cpd09878_e0	
fe3;iron		EX_fe3(e)	EX_cpd10516_e0	
Menaquinol 7		EX_mql7(e)	EX_cpd11451_e0	
Molybdate		EX_mobd(e)	EX_cpd11574_e0	
MOPS		EX_mops(e)	EX_cpd11575_e0	
L-methionine R-oxide		EX_metsox_R_L(e)	EX_cpd11576_e0	
hexanesulfonate		EX_hexs(e)	EX_cpd11578_e0	
ethanesulfonate		EX_ethso3(e)	EX_cpd11579_e0	
Gly-Gln		EX_glygln(e)	EX_cpd11580_e0	
gly-asn-L		EX_glyasn(e)	EX_cpd11581_e0	
ala-L-Thr-L		EX_alathr(e)	EX_cpd11582_e0	
Ala-Leu		EX_alaleu(e)	EX_cpd11583_e0	
Ala-His		EX_alahis(e)	EX_cpd11584_e0	
L-alanylglycine		EX_alagly(e)	EX_cpd11585_e0	
ala-L-glu-L		EX_alaglu(e)	EX_cpd11586_e0	
Ala-Gln		EX_alagln(e)	EX_cpd11587_e0	
gly-pro-L		EX_glypro(e)	EX_cpd11588_e0	
gly-asp-L		EX_glyasp(e)	EX_cpd11589_e0	
met-L-ala-L		EX_metala(e)	EX_cpd11590_e0	
Gly-Met		EX_glymet(e)	EX_cpd11591_e0	
gly-glu-L		EX_glyglu(e)	EX_cpd11592_e0	
ala-L-asp-L		EX_alaasp(e)	EX_cpd11593_e0	
chromate		EX_cro4(e)	EX_cpd11595_e0	
butanesulfonate		EX_butso3(e)	EX_cpd11596_e0	
ARSENOBETAINE		EX_arsenb(e)	EX_cpd11597_e0	
Pectin		EX_pect(e)	EX_cpd11601_e0	
Menaquinone 7		EX_mqn7(e)	EX_cpd11606_e0	
Starch		EX_starch(e)	EX_cpd11657_e0	
beta-Glucan		EX_bglc(e)	EX_cpd11696_e0	
Xylan		EX_xylan(e)	EX_cpd11732_e0	
Glucomannan		EX_glcmannan(e)	EX_cpd11955_e0	
Arabinoxylan		EX_arabinoxyl(e)	EX_cpd11970_e0	
Methylcobalamin		EX_Methylcobalamin(e)	EX_cpd12878_e0	
Stearidonic acid		EX_strdnc(e)	EX_cpd15016_e0	
hexadecenoate		EX_hdcea(e)	EX_cpd15237_e0	
octadecenoate		EX_ocdcea(e)	EX_cpd15269_e0	
tetradecenoate		EX_ttdcea(e)	EX_cpd15298_e0	
glycogen(n-1)		EX_M03161(e)	EX_cpd15302_e0	
Maltoheptaose		EX_malthp(e)	EX_cpd15494_e0	
Ubiquinone-8		EX_q8(e)	EX_cpd15560_e0	
Ubiquinol-8		EX_q8h2(e)	EX_cpd15561_e0	
Gly-Leu		EX_glyleu(e)	EX_cpd15604_e0	
Gly-Phe		EX_glyphe(e)	EX_cpd15605_e0	
Gly-Tyr		EX_glytyr(e)	EX_cpd15606_e0	
heptadecanoate (C17:0)		EX_hpdca(e)	EX_cpd15609_e0	
pentadecanoate (C15:0)		EX_ptdca(e)	EX_cpd15622_e0	
Docosapentaenoic acid		EX_CLPND(e)	EX_cpd16301_e0	
Adrenic acid		EX_adrn(e)	EX_cpd16342_e0	
methymenaquinol 7		EX_mmql7(e)	EX_cpd17026_e0	
methylmenaquinone 7		EX_mmqn7(e)	EX_cpd17027_e0	
2-fucosyllactose		EX_2fl(e)	EX_cpd90001_e0	
Inulin		EX_inulin(e)	EX_cpd27312_e0	
Maltodextrin			EX_cpd11976_e0	
Phenyacetate		EX_pac(e)	EX_cpd19069_e0	
3mop;(S)-3-Methyl-2-oxopentanoate		EX_3mop(e)	EX_cpd00508_e0	
core3		EX_core3(e)	EX_cpd11842_e0	
core4		EX_core4(e)	EX_cpd02992_e0	
Phenylethylamine;Phenethylamine		EX_peamn(e)	EX_cpd03161_e0	
Chitin		EX_chtn(e)	EX_cpd11683_e0	
Glycocholate;Glycocholic acid		EX_gchola(e)	EX_cpd01318_e0	Bile acids
Taurocholate;Taurocholic acid		EX_tchola(e)	EX_cpd03047_e0	Bile acids
Glycochenodeoxycholate;Glycochenodeoxycholic acid		EX_dgchol(e)	EX_cpd03247_e0	Bile acids
Taurochenodeoxycholate;Taurochenodeoxycholic acid		EX_tdchola(e)	EX_cpd03246_e0	Bile acids
Cholate;Cholic acid		EX_cholate(e)	EX_cpd00526_e0	Bile acids
Chenodeoxycholate;Chenodiol		EX_C02528(e)	EX_cpd01663_e0	Bile acids
Lithocholate;Lithocholic acid		EX_HC02191(e)	EX_cpd02475_e0	Bile acids
Deoxycholate;Deoxycholic acid		EX_dchac(e)	EX_cpd02733_e0	Bile acids
sulfoquinovose;sulfoquinovose			EX_cpd22614_e0	
(S)-2,3-Dihydroxypropane-1-sulfonate;2,3-dihydroxypropane-1-sulfonate			EX_cpd31356_e0	
Agmatine		EX_agm(e)	EX_cpd00152_e0	Amines
