rxn,genes,pwy,ncbi,uniprot,location,go,org
|CARBPSYN-RXN|,CAD,|PWY-5505|;|GLUTAMINDEG-PWY|;|CITRULBIO-PWY|;|PWY-4984|;|PWY-5686|,D78586,P27708,|CCO-CYTOPLASM|,|GO:0016874|;|GO:0016787|;|GO:0016740|;|GO:0016597|;|GO:0009347|;|GO:0006807|;|GO:0006526|;|GO:0006520|;|GO:0006221|;|GO:0006207|;|GO:0005737|;|GO:0005524|;|GO:0004151|;|GO:0004088|;|GO:0004070|,|TAX-9606|
|CARBPSYN-RXN|,carB,|PWY-5921|;|ARGSYNBSUB-PWY|,,,,,|TAX-1423|
|CARBPSYN-RXN|,carA,|PWY-5921|;|ARGSYNBSUB-PWY|,,,,,|TAX-1423|
|RXN-16583|,TqaH,|PWY-7660|,,F1CWE3,,,|TAX-36650|
|RXN-8028|,LCYe,|PWY-5175|;|PWY-5946|,AF321538,Q9AXK7,,,|ORG-6001|
|RXN-8028|,CrtL-e,|PWY-5946|,Y14387,O65837,,,|TAX-4081|
|RXN18C3-14|,B2Tom,|PWY18C3-5|,U35462,Q99324,,,|TAX-39703|
|RXN-13699|,PTS1,|PWY-2463|;|PWY-2761|,LC121822,,,,|TAX-46348|
|RXN-13699|,PTS1,|PWY-2229|;|PWY-2761|,AK245195,,,,|TAX-3847|
|RXN-16109|,notB,|PWY-7604|,,,,,|TAX-877550|
|RXN-684|,rhbC,|PWY-761|,,Q9Z3R0,,,|ORG-6005|
|RXN-13184|,vdh,,,Q06539,,,|TAX-100226|
|RXN-18965|,crtS,|PWY-5944|;|PWY-5288|,DQ201828,Q3HR17,,,|TAX-264483|
|RXN-18965|,crtW148,|PWY-5288|,,B2IZ40,,,|TAX-272131|
|RXN-18965|,crtW38,|PWY-5288|,NZ_AAAY02000007,,,,|TAX-272131|
|RXN-18965|,BKT,,,Q4VKB4,,,|TAX-3055|
|RXN-18965|,bkt2,|PWY-5288|,D45881,Q39982,,,|TAX-44745|
|RXN-18965|,bkt1,|PWY-5288|,X86782,O23973,,,|TAX-44745|
|GDP-4-DEHYDRO-D-RHAMNOSE-REDUCTASE-RXN|,rmd,|GDPRHAMSYN-PWY|,,,,,|TAX-287|
|GDP-4-DEHYDRO-D-RHAMNOSE-REDUCTASE-RXN|,rmd,|GDPRHAMSYN-PWY|,AY442352,,,,|ORG-6194|
|RXN-11368|,PPT1,,,Q93YP7,,,|TAX-3702|
|RXN-11368|,coq2,,,Q10252,,,|TAX-284812|
|RXN-11389|,easE,|PWY-6493|,JN186799,M1W0X9,,,|TAX-5111|
|RXN-18502|,t4LhypD,,,Q180C6,,|GO:0016829|;|GO:0016746|;|GO:0016740|;|GO:0008861|;|GO:0008152|;|GO:0003824|,|TAX-272563|
|CHOLESTEROL-OXIDASE-RXN|,choD,|PWY-6946|;|PWY-6945|,,P9WMV9,,|GO:0055114|;|GO:0016995|;|GO:0016853|;|GO:0016614|;|GO:0016491|;|GO:0009405|;|GO:0008203|;|GO:0008202|;|GO:0006694|;|GO:0006629|;|GO:0004769|,|TAX-83332|
|CHOLESTEROL-OXIDASE-RXN|,choB,|PWY-6945|,D00712,P22637,,,|TAX-43767|
|RXN0-2921|,folC,|PWY-2161|,J05221,,,,|TAX-1582|
|RXN0-2921|,folC,|PWY-2161|,BX927155,Q8NN38,,,|TAX-1720|
