MNX_ID	Balance	EC	Source	kegg
MNXR108778	NA	1.17.4.1	rxn06641	R04294
MNXR108793	NA		rxn06642	R04299
MNXR108795	true	1.1.1.1;1.1.1.90	rxn02996	R04304
MNXR108800	true	1.1.1.50	rxn03001	R04310
MNXR108801	NA	2.5.1.26	rxn06644	R04311
MNXR108802	true	2.7.99.1	rxn06645	R04312
MNXR108803	NA	3.4.-.-	rxn11598	R04313
MNXR108804	NA	2.1.1.63	rxn06647	R04314
MNXR108806	true	2.3.1.128	rxn06649	R04316
MNXR108808	true	3.5.2.6	rxn11599	R04318
MNXR108809	redox	1.3.1.34	rxn06651	R04319
MNXR108810	ambiguous	2.7.8.2	rxn06652	R04321
MNXR108813	true	1.1.1.170;1.1.1.270;1.14.13.72	rxn06655	R04328
MNXR108815	true	2.4.2.20	rxn14288	
MNXR108852	true	1.1.1.-	rxn06670	R04375
MNXR108853	true	2.4.1.315	rxn06671	R04377
MNXR108859	true	6.3.5.3	rxn03084	R04463
MNXR108908	true	3.2.1.22	rxn11609	R04470
MNXR108910	NA	2.3.1.141	rxn06703	R04473
MNXR108911	true	2.3.1.134	rxn06704	R04474
MNXR108952	true	2.4.1.87	rxn03123	R04531
MNXR108957	true	3.1.3.47	rxn06720	R04542
MNXR108958	ambiguous	2.3.1.16	rxn03128	R04546
MNXR108959	true	1.3.99.-	rxn03129	R04547
MNXR108963	true	2.7.11.31	rxn06725	R04555
MNXR108967	true	6.3.4.15	rxn06726	R04562
MNXR108976	NA		rxn11611	R04578
MNXR108978	true	6.2.1.7	rxn03145	R04580
MNXR108979	true	2.4.1.60	rxn06733	R04581
MNXR108981	NA	2.3.1.49	rxn06738	R04588
MNXR108985	NA	2.7.11.3	rxn06739	R04589
MNXR108988	true	1.3.99.-	rxn03148	R04592
MNXR108989	true		rxn03149	R04593
MNXR108990	ambiguous	2.4.99.6	rxn03151	R04596
MNXR108992	true	1.13.11.29	rxn03153	R04598
MNXR108993	true	1.13.11.29	rxn03154	R04599
MNXR108994	true	1.13.11.30	rxn03155	R04600
MNXR108995	true	1.13.11.30	rxn03156	R04601
MNXR108997	NA	2.4.1.175	rxn06741	R04603
MNXR108998	true	6.3.4.11	rxn06742	R04604
MNXR108999	true	2.4.1.135	rxn06743	R04607
MNXR109001	true	3.4.17.14;3.4.17.8	rxn14121	
MNXR109003	ambiguous		rxn03163	R04616
MNXR109010	true	2.4.99.8	rxn06750	R04632
MNXR109015	true	2.4.1.146	rxn11613	R04636
MNXR109018	NA		rxn06754	R04644
MNXR109030	true	2.4.99.8	rxn03185	R04661
MNXR109031	ambiguous	2.4.1.145	rxn03186	R04662
MNXR109032	ambiguous	2.4.1.155	rxn03187	R04665
MNXR109035	ambiguous		rxn03191	R04670
MNXR109036	true	5.3.3.5	rxn03192	R04671
MNXR109037	true	1.4.3.22;1.4.3.4	rxn03195	R04674
MNXR109038	true	1.14.14.16;1.14.99.10	rxn03196	R04675
MNXR109039	NA	1.14.15.6	rxn11614	R04676
MNXR109040	true	1.1.1.145;5.3.3.1	rxn03198	R04678
MNXR109041	true	1.1.1.62	rxn03200	R04681
MNXR109042	true	1.1.1.62	rxn03201	R04682
MNXR109043	true	2.4.1.17	rxn03202	R04683
MNXR109044	NA		rxn06763	R04684
MNXR109045	NA	2.3.2.12	rxn06764	R04685
MNXR109047	true	1.4.1.12	rxn03204	R04687
MNXR109048	true	1.4.1.12	rxn03205	R04688
MNXR109050	true	2.1.1;2.1.1.122	rxn03207	R04691
MNXR109114	true	4.1.1.-	rxn03274	R04784
MNXR109117	true	1.14.13.-	rxn03277	R04789
MNXR109118	true	1.14.13.-	rxn11621	R04790
MNXR109119	true	3.3.2.-	rxn11622	R04791
MNXR109121	true	3.3.2.-	rxn11623	R04794
MNXR109126	true	5.5.1;5.5.1.19	rxn11625	R04801
MNXR109129	true	1.1.1.1	rxn03282	R04805
MNXR109132	ambiguous		rxn03285	R04808
MNXR109133	true	4.2.1.107	rxn03286	R04809
MNXR109134	true	1.1.1.35	rxn03287	R04810
MNXR109135	ambiguous	2.3.1.154;2.3.1.176	rxn14138	R04811
MNXR109136	true	1.1.1.35	rxn03289	R04812
MNXR109137	true	4.2.1.107	rxn03290	R04813
MNXR109139	true	1.1.1.50;1.1.1.53	rxn03292	R04818
MNXR109140	true	1.1.1.50;1.1.1.53	rxn03293	R04819
MNXR109142	true	1.1.1.50;1.1.1.53	rxn03295	R04824
MNXR109143	true	1.1.1.50;1.1.1.53	rxn03296	R04825
MNXR109146	true	1.1.1.50	rxn03299	R04829
MNXR109147	true	1.1.1.50	rxn03300	R04830
MNXR109148	true	1.1.1.53	rxn03301	R04831
MNXR109149	true	1.1.1.50	rxn03302	R04832
MNXR109150	true	1.1.1.50	rxn03303	R04833
MNXR109151	true	1.1.1.53	rxn03304	R04834
MNXR109152	true	1.1.1.50	rxn03305	R04835
MNXR109153	true	1.1.1.50	rxn03306	R04836
MNXR109154	true	1.1.1.50	rxn03307	R04837
MNXR109155	true	1.1.1.50	rxn03308	R04838
MNXR109156	true	1.1.1.146	rxn03310	R04840
MNXR109157	true	1.1.1.50	rxn03311	R04842
MNXR109158	true	1.1.1.50	rxn03312	R04843
MNXR109160	true	1.1.1.50	rxn03314	R04845
MNXR109161	true	1.1.1.50	rxn03315	R04846
MNXR109162	true	1.1.1.53	rxn03316	R04847
MNXR109163	true	1.1.1.145;5.3.3.1	rxn03317	R04849
MNXR109166	true	1.14.14.19;1.14.99.9	rxn03320	R04853
MNXR109167	NA	1.14.15.6	rxn11627	R04854
MNXR109168	NA	1.14.15.6	rxn11628	R04855
MNXR109170	true	3.5.1;3.5.3.-	rxn03323	R04857
MNXR109171	redox	1.8.4.3	rxn06800	R04860
MNXR109173	true	1.2.1.31	rxn06802	R04863
MNXR109174	NA	2.3.1.40	rxn06803	R04864
MNXR109175	true	2.1.1.43;2.1.1.59;2.1.1.60	rxn06804	R04866
